source,region,t,sect_name,sect_group,gvc,traditional,period,traditional_med
wiodlr,JPN,1965,"1-Agriculture, Hunting, Forestry and Fishing","Agriculture, forestry and fishing",0.235359725172443,0.194256643762152,1965-1974,0.0500962090436171
wiodlr,JPN,1965,10-Basic Metals and Fabricated Metal,Manufacturing,1.87411191712811,2.2457441099235,1965-1974,1.20346367122633
wiodlr,JPN,1965,"11-Machinery, nec.",Manufacturing,0.736896109104641,0.739994395627128,1965-1974,1.38445637083887
wiodlr,JPN,1965,12-Electrical and Optical Equipment,Manufacturing,1.26007535954317,1.89499778040803,1965-1974,2.11542184948025
wiodlr,JPN,1965,13-Transport Equipment,Manufacturing,0.447041022001782,0.842327709028487,1965-1974,2.01761212455359
wiodlr,JPN,1965,"14-Manufacturing, nec.; Recycling",Manufacturing,1.98810886208929,1.58700015925313,1965-1974,0.540781372197159
wiodlr,JPN,1965,"3-Food, Beverages and Tobacco",Manufacturing,0.529129523683478,0.4049041349012,1965-1974,0.138245662622748
wiodlr,JPN,1965,"4-Textiles, Textile, Leather and Footwear",Manufacturing,1.53417082879139,2.3773590568111,1965-1974,0.446966839212932
wiodlr,JPN,1965,"5-Pulp, Paper, Paper, Printing and Publishing",Manufacturing,0.48047730623098,0.270135438746146,1965-1974,0.196687213007652
wiodlr,JPN,1965,"6-Coke, Refined Petroleum and Nuclear Fuel",Manufacturing,0.443071234447026,0.363649643297183,1965-1974,0.178334543149209
wiodlr,JPN,1965,7-Chemicals and Chemical Products,Manufacturing,0.78430527274595,0.926585833922169,1965-1974,0.819482976149523
wiodlr,JPN,1965,8-Rubber and Plastics,Manufacturing,1.20419570105273,1.18007450911216,1965-1974,0.909833430381939
wiodlr,JPN,1965,9-Other Non-Metallic Mineral,Manufacturing,2.14894785588611,1.69087859679448,1965-1974,0.811702527988084
wiodlr,JPN,1966,"1-Agriculture, Hunting, Forestry and Fishing","Agriculture, forestry and fishing",0.25118487696924,0.190059450275867,1965-1974,0.0500962090436171
wiodlr,JPN,1966,10-Basic Metals and Fabricated Metal,Manufacturing,1.74671377615552,2.1523978905027,1965-1974,1.20346367122633
wiodlr,JPN,1966,"11-Machinery, nec.",Manufacturing,0.757117817063012,0.786150341380357,1965-1974,1.38445637083887
wiodlr,JPN,1966,12-Electrical and Optical Equipment,Manufacturing,1.43519514059884,2.03527049194348,1965-1974,2.11542184948025
wiodlr,JPN,1966,13-Transport Equipment,Manufacturing,0.409621907107007,0.822774720019622,1965-1974,2.01761212455359
wiodlr,JPN,1966,"14-Manufacturing, nec.; Recycling",Manufacturing,2.04404706412379,1.55570701829613,1965-1974,0.540781372197159
wiodlr,JPN,1966,"3-Food, Beverages and Tobacco",Manufacturing,0.512328651593254,0.38408575548943,1965-1974,0.138245662622748
wiodlr,JPN,1966,"4-Textiles, Textile, Leather and Footwear",Manufacturing,1.49281602630333,2.28525547018956,1965-1974,0.446966839212932
wiodlr,JPN,1966,"5-Pulp, Paper, Paper, Printing and Publishing",Manufacturing,0.510432225359682,0.28319808062124,1965-1974,0.196687213007652
wiodlr,JPN,1966,"6-Coke, Refined Petroleum and Nuclear Fuel",Manufacturing,0.267302357932067,0.217763085704781,1965-1974,0.178334543149209
wiodlr,JPN,1966,7-Chemicals and Chemical Products,Manufacturing,0.888556912227384,1.00821286190398,1965-1974,0.819482976149523
wiodlr,JPN,1966,8-Rubber and Plastics,Manufacturing,1.34353150593282,1.28153986247557,1965-1974,0.909833430381939
wiodlr,JPN,1966,9-Other Non-Metallic Mineral,Manufacturing,2.08072538833589,1.60785754689279,1965-1974,0.811702527988084
